Protein Accession,Fusion Probability,Fused,Cluster Number
Q14019,0.05,0,NA
Q15029,0,0,NA
Q99704,0,0,NA
Q9UBW8,0,0,NA
Q8N1G4,0.002,0,NA
Q8NFW8,0,0,NA
Q86TI2-2,0,0,NA
Q9NX24,0,0,NA
O15164,0.008,0,NA
P53602,0.002,0,NA
Q9NVZ3,0.002,0,NA
P13984,0.022,0,NA
P17655,0,0,NA
P53384,0.016,0,NA
Q52LJ0-2,0,0,NA
P25398,0,0,NA
Q9BYN8,0.018,0,NA
Q9ULU4-13,0,0,NA
P21796,0.29,0,NA
P04899,0.004,0,NA
Q6PML9,0.022,0,NA
P55084,0.352,0,NA
P09001,0,0,NA
Q7L014,0.006,0,NA
Q6IBS0,0.934,1,42
Q96S59,0,0,NA
Q15257,0.104,0,NA
P61201-2,0.038,0,NA
Q6PD74,0.722,1,12
O43617,0,0,NA
O75569,0,0,NA
P31153,0.178,0,NA
O95571,0.838,1,13
O15382,0,0,NA
P28702-3,0,0,NA
Q8N5N7,0,0,NA
Q92841,0.044,0,NA
Q9Y3A6,0.832,1,26
Q9H2K8,0,0,NA
O60828,0,0,NA
Q6SPF0,0,0,NA
P63000-2,0,0,NA
P41227,0,0,NA
Q99798,0.222,0,NA
Q99832,0.894,1,29
P23610,0,0,NA
Q9H0N5,0,0,NA
Q12965,0.08,0,NA
P05204,0,0,NA
P49770,0,0,NA
Q9H3H1,0.902,1,31
P35813-3,0,0,NA
P48047,0.062,0,NA
O14920,0,0,NA
P82675,0,0,NA
P05771-2,0.51,1,21
Q12874,0.912,1,11
Q5SSJ5,0,0,NA
Q8N108-12,0.004,0,NA
P27824-2,0.004,0,NA
Q9UMX0,0,0,NA
Q96CX2,0,0,NA
O15234,0,0,NA
Q9NVT9,0,0,NA
Q8N684-3,0.002,0,NA
Q9Y6Y8,0,0,NA
Q13217,0.002,0,NA
Q9BVL2,0,0,NA
Q9H4I3,0,0,NA
Q9NTZ6,0,0,NA
Q92878-2,0,0,NA
Q12904-2,0,0,NA
P86790,0.012,0,NA
Q6ZUM4,0,0,NA
Q86UV5-8,0,0,NA
O60841,0.026,0,NA
P78330,0,0,NA
Q96C19,0.806,1,12
Q8IZ07,0,0,NA
P07814,0.978,1,7
Q14684,0.304,0,NA
Q9HCU5,0.022,0,NA
Q9HB40,0,0,NA
P04843,0,0,NA
Q8WVV9,0.54,1,27
Q96P48,0.112,0,NA
Q8TAG9,0,0,NA
O94804,0.002,0,NA
Q9UFW8,0.002,0,NA
Q8NBP0,0,0,NA
O60547,0,0,NA
Q9HAW4,0,0,NA
Q96N21,0,0,NA
Q9UKZ1,0.03,0,NA
Q92696,0.992,1,39
Q9NX62,0,0,NA
Q6W2J9,0,0,NA
Q96M27-2,0,0,NA
P35579,0.326,0,NA
O96011,0,0,NA
O75663,0.936,1,12
P31937,0,0,NA
O00116,0,0,NA
O15357,0.008,0,NA
Q8NBM8,0.248,0,NA
Q4KMP7,0,0,NA
O60884,0,0,NA
P36543,0,0,NA
Q9H9B1,0,0,NA
Q96I25,0,0,NA
Q8IYB7,0.158,0,NA
P41236,0,0,NA
P18124,0.468,0,NA
Q15642-2,0.012,0,NA
Q13416,0,0,NA
Q9BV20,0.154,0,NA
P28482,0,0,NA
Q7KZ85,0,0,NA
Q96A72,0,0,NA
O95249,0.376,0,NA
P10619,0.964,1,42
P22626,0.414,0,NA
O60762,0.002,0,NA
Q9BWJ5,0.146,0,NA
Q8NE71,0,0,NA
Q8NBQ5,0.144,0,NA
P49755,0,0,NA
Q9NP77,0,0,NA
Q9P287,0.048,0,NA
Q01081,0,0,NA
P05198,0,0,NA
P21675-4,0,0,NA
P50914,0.714,1,43
P01116-2,0,0,NA
Q9NPA0,0.002,0,NA
Q9BWS9,0,0,NA
Q96G21,0,0,NA
Q16630-2,0.162,0,NA
Q9NVG8,0.072,0,NA
Q9BZE1,0,0,NA
Q13637,0,0,NA
Q92769,0,0,NA
P48382,0,0,NA
P30043,0,0,NA
Q99848,0,0,NA
P56556,0,0,NA
P09661,0,0,NA
Q92598,0.85,1,39
P15144,0.53,1,3
Q13200,0.844,1,44
P09622,0.93,1,11
P33176,0.012,0,NA
P42768,0.002,0,NA
Q8IXM3,0,0,NA
Q12849,0,0,NA
P23786,0.012,0,NA
Q96J01,0,0,NA
Q16611,0,0,NA
O15228,0.11,0,NA
Q13671,0.28,0,NA
P61289-2,0.974,1,39
Q9UPW6,0.002,0,NA
Q13595,0.052,0,NA
P29350-3,0.19,0,NA
P48444,0.006,0,NA
Q06124-2,0,0,NA
P21283,0.012,0,NA
P50454,0.002,0,NA
P10398,0,0,NA
Q9H974-4,0.002,0,NA
P62995,0,0,NA
P32321-2,0.002,0,NA
Q96NC0,0.392,0,NA
Q96HY6,0,0,NA
Q9HDC9,0.83,1,35
Q9BTY2,0.206,0,NA
Q9Y5T5,0,0,NA
P47985,0.002,0,NA
P38606,0,0,NA
P29083,0,0,NA
Q8NFH3,0,0,NA
Q8TAT6-2,0.906,1,12
O00461,0.588,1,27
Q3KQU3-4,0,0,NA
Q9NR56-5,0.008,0,NA
P43155,0.002,0,NA
Q8TF46,0,0,NA
Q66K74,0,0,NA
Q6UWW8,0.124,0,NA
Q96RU3,0.086,0,NA
P35249,0,0,NA
P0DMV9,0,0,NA
Q8TAF3,0,0,NA
Q96H20,0,0,NA
Q02978,0,0,NA
Q9NZN8,0,0,NA
Q9Y2W2,0.636,1,35
O15155,0,0,NA
Q6ZRV2,0,0,NA
Q6PL24,0,0,NA
Q8IWT6,0,0,NA
Q5R372-3,0,0,NA
Q9HD26,0.016,0,NA
O14964,0.176,0,NA
Q05932,0,0,NA
Q9Y376,0.804,1,44
P62310,0,0,NA
O95202,0.966,1,41
Q02543,0.988,1,12
Q9Y6I9,0.002,0,NA
O60232,0,0,NA
P48059-3,0,0,NA
Q9Y5N5,0,0,NA
Q9BSF4,0,0,NA
P56377,0.026,0,NA
P52597,0,0,NA
Q9UBQ5,0.006,0,NA
Q15424-3,0.01,0,NA
P30622,0,0,NA
P83731,0,0,NA
P31040,0.002,0,NA
Q5MIZ7,0.142,0,NA
Q08945,0.54,1,20
Q8WUH1,0.024,0,NA
Q13952,0.338,0,NA
P61247,0.158,0,NA
Q13148,0,0,NA
P37235,0.136,0,NA
Q9H788,0.004,0,NA
Q9Y4H2,0.296,0,NA
P25440-2,0,0,NA
Q92900,0,0,NA
P21964,0,0,NA
P09132,0,0,NA
P24534,0.324,0,NA
Q9NQT4,0,0,NA
P48449,0.014,0,NA
Q15052,0.846,1,7
Q9H0C8,0,0,NA
P15954,0,0,NA
P28062,0.002,0,NA
Q9NX63,0.988,1,13
Q9HCE5,0,0,NA
Q96DF8,0,0,NA
O43665-3,0.066,0,NA
O14907,0,0,NA
P20810-6,0,0,NA
Q9NUU7,0,0,NA
Q9UKM9,0.942,1,13
P62861,0,0,NA
Q709C8,0.194,0,NA
Q14554,0,0,NA
Q99460,0.75,1,44
P62241,0.008,0,NA
O43674,0,0,NA
Q9NWQ8,0.24,0,NA
Q9H3P7,0,0,NA
Q15363,0,0,NA
P99999,0.008,0,NA
Q9NUY8,0.012,0,NA
Q9Y2Q3,0.624,1,41
Q14676,0.002,0,NA
Q92692,0,0,NA
Q9C0E8-4,0.002,0,NA
Q12846,0,0,NA
Q9GZT4,0.008,0,NA
O95391,0,0,NA
Q8IX12,0,0,NA
Q96QE5,0.166,0,NA
Q9Y570-4,0,0,NA
Q7Z7E8,0.01,0,NA
O94819,0.002,0,NA
Q9UJY5-6,0,0,NA
Q8N543,0.014,0,NA
P50552,0.006,0,NA
Q96IJ6-2,0,0,NA
P53985,0,0,NA
Q9BRD0,0,0,NA
P41229,0,0,NA
Q96SZ5,0.008,0,NA
Q9UMS4,0.008,0,NA
P82970,0,0,NA
Q96S19,0,0,NA
Q9BRK5,0,0,NA
P10768,0.002,0,NA
Q12792,0.01,0,NA
P09234,0,0,NA
P62424,0.57,1,20
P82673,0,0,NA
Q9NVJ2,0.01,0,NA
Q9Y333,0,0,NA
Q96KQ7-2,0.928,1,11
Q9BSD7,0.05,0,NA
O75886,0.148,0,NA
O43716,0,0,NA
P61978-2,0.004,0,NA
P11215-2,0,0,NA
P62851,0,0,NA
O15355,0.008,0,NA
O43676,0.02,0,NA
P41214,0.006,0,NA
O60476,0.024,0,NA
Q03426,0.032,0,NA
P62888,0,0,NA
P36954,0,0,NA
P78356,0,0,NA
Q14498,0.012,0,NA
Q9UBI1,0,0,NA
A6NIH7,0,0,NA
P23396,0.794,1,44
Q9BVK6,0.074,0,NA
Q9H1E3,0,0,NA
Q5VTL8,0,0,NA
Q6UXV4,0.018,0,NA
Q8WXG6-4,0,0,NA
Q9UHR6,0,0,NA
Q9H4A6,0.502,1,29
Q9UJU6-2,0,0,NA
Q9Y6W5,0,0,NA
O60256,0.832,1,9
Q15758,0.082,0,NA
Q4KMQ1,0.024,0,NA
P51572-2,0.562,1,11
Q7Z422,0.072,0,NA
O00267,0,0,NA
P42574,0,0,NA
Q15459,0.97,1,11
P30101,0.002,0,NA
Q8TBC4,0.004,0,NA
Q12800,0,0,NA
P57772,0.046,0,NA
P38117,0.816,1,13
O75940,0,0,NA
Q15393,0,0,NA
O95365,0.454,0,NA
O94761,0,0,NA
O14562,0,0,NA
Q9Y6K9-2,0,0,NA
P37802,0.59,1,18
Q70J99-3,0,0,NA
P43307,0.094,0,NA
Q9NVE7,0,0,NA
O95983,0.98,1,13
Q13177,0,0,NA
P49590,0,0,NA
O95816,0,0,NA
Q9Y277,0.106,0,NA
Q9H1P3,0,0,NA
P48723,0,0,NA
Q4G0J3-3,0.006,0,NA
Q9NW81-4,0,0,NA
Q14694-2,0.054,0,NA
P21281,0.004,0,NA
P08133,0.97,1,42
Q13247,0,0,NA
Q9BVA0,0,0,NA
Q9Y4Z0,0.006,0,NA
Q96BP3,0,0,NA
Q14919-2,0.014,0,NA
Q9BTL3,0,0,NA
O15144,0.7,1,44
Q9H3G5,0.056,0,NA
Q13464,0,0,NA
P42765,0.894,1,11
P50225,0.066,0,NA
Q92785,0.95,1,13
Q8IXB1,0,0,NA
Q9UII2,0.008,0,NA
P22830-2,0,0,NA
P53582,0.532,1,20
Q9BZI7,0,0,NA
P61018-2,0.752,1,19
Q9NYZ3,0,0,NA
P23141-2,0.002,0,NA
Q13283,0.042,0,NA
O00625,0.638,1,3
P62857,0,0,NA
P42285,0,0,NA
Q96DZ1,0.836,1,26
Q9BQ75,0.026,0,NA
Q9H0U4,0.098,0,NA
Q04941,0,0,NA
Q13868,0.216,0,NA
Q9BRR6,0.258,0,NA
Q9NZD2,0,0,NA
P55795,0,0,NA
Q96ST3,0.104,0,NA
Q96CP2,0.01,0,NA
Q9UBW5,0.014,0,NA
Q7Z2W9,0,0,NA
Q13188-2,0.522,1,3
Q9Y3C6,0,0,NA
Q9NRV9,0.08,0,NA
Q8NEY8-9,0.292,0,NA
Q96GD0,0.002,0,NA
P14866,0.832,1,11
P19484,0.148,0,NA
P14625,0,0,NA
Q9Y2Q5-2,0.898,1,44
A0MZ66-3,0.072,0,NA
P82650,0,0,NA
Q96GA7,0.982,1,39
Q86TU7,0,0,NA
Q6FI81,0,0,NA
O15479,0,0,NA
O75964,0,0,NA
Q6P1N0,0,0,NA
Q00341,0.824,1,20
Q06323,0.618,1,12
Q96GC5,0,0,NA
P63208,0,0,NA
P26373,0.002,0,NA
O15305,0.228,0,NA
P29692-2,0,0,NA
P14868,0.83,1,42
Q13045,0,0,NA
O15427,0.006,0,NA
Q8N142,0.054,0,NA
P84090,0,0,NA
O95429,0,0,NA
Q9BUF5,0,0,NA
Q96BR1,0,0,NA
Q16629,0.448,0,NA
Q8IVM0,0,0,NA
P62140,0.922,1,12
Q9UH65,0.342,0,NA
Q9BVI4,0,0,NA
Q9BYV8,0,0,NA
Q96S55,0,0,NA
P46781,0,0,NA
Q9BYC8,0.386,0,NA
P00367,0,0,NA
P14317,0.052,0,NA
Q9Y3U8,0,0,NA
Q9BV68-2,0,0,NA
Q9Y606,0.782,1,42
Q15750,0,0,NA
Q8WXF1,0.724,1,35
Q3ZAQ7,0,0,NA
P10809,0.962,1,11
P61160,0.834,1,20
Q9UBQ0,0.55,1,42
O43242,0.166,0,NA
P56181-2,0.798,1,11
Q9NY12,0.988,1,37
Q8IYB3,0.202,0,NA
Q969M7-2,0.002,0,NA
Q13131-2,0.056,0,NA
Q86TM6,0,0,NA
Q9Y383,0.136,0,NA
Q96B23-2,0.754,1,37
Q7Z5R6,0.972,1,4
P07900-2,0.8,1,17
O43427,0,0,NA
Q9UBM7,0,0,NA
Q16698,0,0,NA
Q86V21,0.09,0,NA
Q12986,0,0,NA
Q92979,0,0,NA
P62487,0,0,NA
Q9H6Z4-2,0,0,NA
P11142,0.272,0,NA
Q9BSC4,0,0,NA
Q14978-2,0.942,1,11
P50238,0.004,0,NA
P22059,0,0,NA
Q9NZ45,0.98,1,13
Q8TDW0,0,0,NA
Q8NB90,0,0,NA
P52735,0,0,NA
Q8N7H5,0.04,0,NA
Q6NW29,0.002,0,NA
Q9P0L0,0.434,0,NA
P30837,0,0,NA
Q92530,0.014,0,NA
Q08378,0.3,0,NA
Q5VUM1,0,0,NA
P35998,0.922,1,39
P82912,0,0,NA
Q7Z7H5,0.946,1,35
Q14088,0.082,0,NA
Q9NP61,0,0,NA
Q9Y394,0,0,NA
Q5T6F2,0,0,NA
P12270,0.974,1,11
P51571,0.004,0,NA
Q9Y2L1,0.048,0,NA
P54709,0.02,0,NA
P51812,0,0,NA
O75935,0.002,0,NA
P27797,0,0,NA
Q9NUB1,0,0,NA
P05455,0.932,1,3
Q9NYB0,0,0,NA
O43639,0.168,0,NA
Q5RKV6,0.012,0,NA
Q9NPE3,0,0,NA
Q5QP82,0,0,NA
Q9NRL3-3,0,0,NA
P08758,0.856,1,3
Q969H8,0.206,0,NA
P50148,0,0,NA
Q96CT7,0,0,NA
Q8NCA5,0.008,0,NA
Q9NSE4,0,0,NA
Q9NTX7,0.028,0,NA
P05091,0,0,NA
P49137,0.018,0,NA
O00330,0.004,0,NA
P05388,0.998,1,44
Q9H6V9-2,0,0,NA
P60604,0,0,NA
Q9BPW8,0.954,1,13
P62318,0.086,0,NA
P61962,0,0,NA
Q01433,0.856,1,7
O43148-2,0,0,NA
P61964,0,0,NA
Q9H6W3,0.002,0,NA
Q86UP2,0.732,1,11
P63218,0.01,0,NA
Q2NL82,0.962,1,39
Q96HY7,0,0,NA
Q96JJ3,0.002,0,NA
Q96C01,0.24,0,NA
P78417,0,0,NA
P23368,0.732,1,33
Q15717-2,0.02,0,NA
P50990,0.038,0,NA
Q8N183,0.006,0,NA
O14776,0,0,NA
Q15527,0,0,NA
Q12824,0.722,1,13
Q96N66,0.002,0,NA
Q92820,0,0,NA
P51784,0,0,NA
Q01844-5,0,0,NA
P06493,0,0,NA
O00422,0.002,0,NA
Q8IV08,0,0,NA
Q9Y616,0,0,NA
Q8WVC0,0.004,0,NA
O43670-4,0.008,0,NA
P33240,0.15,0,NA
O60508,0,0,NA
Q9UDX5,0,0,NA
Q16775-2,0,0,NA
Q96BX8,0.016,0,NA
Q96HS1,0,0,NA
Q96NT0,0.006,0,NA
Q14166,0.11,0,NA
Q96T66,0,0,NA
O94979,0,0,NA
Q12797,0,0,NA
O00299,0,0,NA
Q99986,0.406,0,NA
Q99871-2,0,0,NA
Q96DB5,0,0,NA
P84095,0.396,0,NA
Q5T0F9-2,0,0,NA
P11021,0.986,1,45
O15347,0.032,0,NA
P35268,0,0,NA
Q9BYD6,0,0,NA
P35914,0,0,NA
O75153,0.044,0,NA
Q9Y6J0,0.028,0,NA
Q969U7,0.816,1,39
P62826,0.382,0,NA
Q8N5G0-2,0,0,NA
P62333,0.188,0,NA
Q92890-1,1,1,3
O15372,0,0,NA
P23528,0.742,1,42
Q69YN2,0.004,0,NA
Q9NYL9,0.494,0,NA
Q13057-2,0.014,0,NA
Q9Y5A9,0,0,NA
P00390,0.966,1,3
P08865,0.006,0,NA
Q96G03,0.898,1,42
O15498,0.768,1,44
Q9P0J0-2,0.298,0,NA
P09211,0.98,1,17
Q9Y315,0.052,0,NA
Q969T9,0.004,0,NA
P11310-2,0.646,1,11
P34896,0,0,NA
O00743-3,0,0,NA
P62910,0.094,0,NA
Q6P1L8,0.942,1,36
Q9GZZ1,0,0,NA
Q9UBN7,0,0,NA
Q6YP21,0,0,NA
Q9NQ29,0.266,0,NA
O75427,0,0,NA
O60216,0,0,NA
Q99700,0.118,0,NA
Q9BXX0,0.958,1,3
Q7KZF4,0.328,0,NA
P09497-2,0.042,0,NA
Q92499,0,0,NA
Q9NR12,0.02,0,NA
Q6PK18-2,0,0,NA
P47914,0,0,NA
Q9Y450,0,0,NA
P24752,0.23,0,NA
Q8IVS2,0.016,0,NA
P06748,0.212,0,NA
Q5T8P6-2,0,0,NA
P40926,0.244,0,NA
Q02878,0.002,0,NA
P54105,0,0,NA
Q15311,0,0,NA
P84243,0.088,0,NA
O15143,0.846,1,20
Q8WU79,0.018,0,NA
Q96SB3,0.932,1,42
Q3MHD2-2,0,0,NA
Q96GX9,0,0,NA
P13797,0,0,NA
Q9BQC6,0,0,NA
Q9NY27,0,0,NA
P10155,0.158,0,NA
Q9Y285,0,0,NA
P46779,0.006,0,NA
Q8WW22-2,0,0,NA
Q09666,0,0,NA
Q15013-3,0,0,NA
P10606,0,0,NA
Q8NEB9,0.012,0,NA
Q96C57,0,0,NA
Q9NVA2-2,0.006,0,NA
Q00765,0.004,0,NA
Q6UXN9,0.008,0,NA
Q96FX7,0,0,NA
Q86SX6,0,0,NA
P67870,0.028,0,NA
P47974,0,0,NA
Q9BYD3,0,0,NA
P22670,0,0,NA
Q9BZL1,0,0,NA
O75531,0,0,NA
P62195,0.85,1,20
O75915,0.032,0,NA
O43292,0.93,1,40
Q14653-4,0,0,NA
P36578,0,0,NA
P61224,0.318,0,NA
Q8IXJ6,0.002,0,NA
P61204,0.812,1,12
A1L0T0,0.002,0,NA
Q96CB9,0,0,NA
P11279,0,0,NA
P05386,0,0,NA
P53597,0.736,1,11
Q15287,0.174,0,NA
O75909-4,0,0,NA
P22732,0,0,NA
P12955,0,0,NA
Q16555,0.178,0,NA
O75821,0.978,1,44
P46777,0,0,NA
O75083,0.548,1,20
P63167,0.004,0,NA
Q15427,0.012,0,NA
Q8IWC1,0,0,NA
O75312,0.988,1,20
Q9Y4P8,0,0,NA
Q8IXQ4,0,0,NA
Q9H2U2-2,0.014,0,NA
P53634,0,0,NA
Q13596,0,0,NA
Q07955,0.03,0,NA
Q9NRX1,0,0,NA
O00154,0,0,NA
Q9NZ63,0,0,NA
P62277,0.002,0,NA
Q53T59,0,0,NA
P21266,0.98,1,44
P53801,0,0,NA
O43414,0.726,1,44
Q6PCB5,0.04,0,NA
P30085,0,0,NA
Q8WVM7,0,0,NA
Q9BY44,0.918,1,39
P17568,0,0,NA
P52815,0.078,0,NA
P11177,0.05,0,NA
Q5HYI8,0,0,NA
Q15418-2,0.01,0,NA
P67936,0.448,0,NA
O75396,0.018,0,NA
P51649-2,0,0,NA
Q6PK04,0.852,1,37
P04181,0.502,1,11
Q13685,0,0,NA
Q05048,0,0,NA
Q9NX40,0.996,1,11
P62258,0.994,1,42
Q13043,0,0,NA
Q13740,0,0,NA
Q9Y5B9,0.49,0,NA
Q6VY07,0,0,NA
Q9Y259,0,0,NA
Q86XR7-2,0,0,NA
P39023,0.92,1,20
P00338-3,0.958,1,42
Q92882,0.024,0,NA
Q13404-1,0,0,NA
P61081,0,0,NA
P00403,0,0,NA
P16885,0.052,0,NA
Q9H9H4,0,0,NA
P05387,0.996,1,45
Q15435,0.838,1,42
P31946,0.486,0,NA
Q9Y5J6,0,0,NA
Q9HAR2-4,0,0,NA
P24539,0.276,0,NA
Q96EM0,0,0,NA
Q96K76-4,0,0,NA
P07954,0.942,1,11
O14818,0.996,1,20
Q10471,0,0,NA
P35241,0.02,0,NA
Q9Y6W3,0,0,NA
O00762,0.002,0,NA
P43246,0.876,1,7
P50570,0.888,1,44
Q9H2H8,0,0,NA
Q99442,0,0,NA
Q9BTV4,0,0,NA
P49354,0,0,NA
Q99829,0,0,NA
Q9NR28,0,0,NA
Q9H7Z7,0,0,NA
Q08752,0.646,1,20
P07384,0.722,1,40
Q96FS4,0.898,1,46
Q15382,0.94,1,42
P06865,0,0,NA
P20042,0.35,0,NA
O00429-4,0,0,NA
Q16134,0.002,0,NA
O95400,0,0,NA
P08195-2,0,0,NA
Q96FW1,0.15,0,NA
Q13356,0.014,0,NA
P27816,0.136,0,NA
P17980,0.956,1,20
P22033,0.184,0,NA
P43686,0.008,0,NA
P35244,0,0,NA
P47756-2,0.772,1,20
Q9Y697,0,0,NA
Q01085,0,0,NA
P53999,0.03,0,NA
O95630,0.798,1,16
Q9Y5U2,0,0,NA
P61353,0.16,0,NA
Q13363,0,0,NA
O43865,0,0,NA
P31150,0.562,1,44
P35606,0.498,0,NA
Q9UIQ6,0,0,NA
Q14055,0,0,NA
P10746,0.004,0,NA
P07477,0.004,0,NA
P61956,0,0,NA
Q15185,0,0,NA
P09012,0,0,NA
Q86U42,0,0,NA
P07108-5,0.994,1,44
O00487,0.02,0,NA
Q9Y679,0,0,NA
P13804,0.988,1,11
Q9BZE9-2,0,0,NA
Q9UBU8-2,0.996,1,15
O00754,0.002,0,NA
Q9Y2Q9,0,0,NA
P09525,0.866,1,18
Q0VDG4,0.82,1,42
Q9HB07,0,0,NA
Q86VM9,0,0,NA
O14737,0.378,0,NA
O75167-4,0.392,0,NA
Q7L8J4,0,0,NA
Q16531,0.974,1,44
Q9NXG2,0,0,NA
P50579,0,0,NA
P62834,0.002,0,NA
Q96PZ0,0.088,0,NA
Q9NQ50,0,0,NA
P28065,0.99,1,3
Q53F19,0,0,NA
Q9HCN8,0,0,NA
P11908-2,0.986,1,44
Q13435,0.948,1,11
P25786-2,0.978,1,45
P49593,0,0,NA
O95169,0.002,0,NA
Q9BVJ7,0,0,NA
Q9ULV4-3,0.606,1,20
O14841,0,0,NA
P52298,0,0,NA
O43768-3,0.002,0,NA
P39019,0.946,1,17
P35270,0.028,0,NA
P30533,0,0,NA
P07686,0,0,NA
Q8NBJ5,0,0,NA
P61106,0,0,NA
Q14012,0,0,NA
P46926,0.988,1,42
P60953,0,0,NA
Q9ULH1-2,0.022,0,NA
Q15070,0,0,NA
Q9UK41,0,0,NA
P50749,0,0,NA
P49720,0.494,0,NA
O75431,0,0,NA
P04183,0.818,1,7
P31949,0,0,NA
Q9P258,0.142,0,NA
Q96B45,0,0,NA
Q9Y3B7,0.79,1,11
Q8TCU6,0.98,1,7
Q7L4I2,0,0,NA
Q9Y3X0,0.014,0,NA
Q00013,0,0,NA
P07858,0.006,0,NA
Q53H82,0.34,0,NA
Q8IUW5,0,0,NA
O96000,0,0,NA
P47755,0.06,0,NA
P29084,0.124,0,NA
P46063,0.002,0,NA
Q9BWU0,0,0,NA
P40818,0,0,NA
P40337,0,0,NA
P62847-4,0.98,1,20
O75689,0,0,NA
O95182,0.216,0,NA
Q9Y296,0,0,NA
P61313,0,0,NA
Q9NWZ3,0,0,NA
P19623,0.738,1,39
Q8WY22,0,0,NA
Q9H7H0-3,0,0,NA
Q7Z3B4,0,0,NA
Q9NWB6,0.112,0,NA
Q9UN37,0,0,NA
Q8WVT3,0,0,NA
Q7L5Y1-5,0,0,NA
Q8WVK2,0.058,0,NA
O75436,0.142,0,NA
Q9NX14-2,0,0,NA
P51149,0,0,NA
P15311,0.55,1,14
Q9NWU5,0,0,NA
Q99627,0,0,NA
Q8WUA2,0,0,NA
Q8WXA9-2,0.116,0,NA
Q676U5,0,0,NA
Q9Y4E5,0,0,NA
Q96E11,0,0,NA
Q9NVM9,0,0,NA
Q92804,0.258,0,NA
P07195,0.992,1,42
Q0VDF9,0.7,1,42
Q9Y6B6,0.002,0,NA
P22392-2,0.98,1,44
P62312,0.046,0,NA
P49257,0,0,NA
Q99735,0.002,0,NA
Q9NXS2,0,0,NA
Q9UHR5,0,0,NA
Q9NTK5,0,0,NA
P31260,0,0,NA
P51970,0.124,0,NA
P58546,0,0,NA
Q9BV79,0,0,NA
Q7L7X3,0,0,NA
Q8TBA6,0,0,NA
Q96CW1-2,0.002,0,NA
P17612,0.002,0,NA
Q9Y5K6,0.73,1,45
O60888-2,0,0,NA
O75695,0,0,NA
Q9NW82,0,0,NA
Q8IZ83,0,0,NA
P55008,0.12,0,NA
O95394-4,0,0,NA
P30049,0,0,NA
Q9UIJ7,0.076,0,NA
Q13232,0.008,0,NA
Q9Y371,0,0,NA
P62081,0,0,NA
P51659,0,0,NA
Q8IWS0,0.006,0,NA
Q13907,0,0,NA
Q9HD33,0.002,0,NA
Q9NP72,0,0,NA
P61163,0,0,NA
Q9NQW7-3,0.014,0,NA
Q9BZV1,0,0,NA
P11047,0,0,NA
P49821,0,0,NA
Q8N9N7,0.002,0,NA
Q96SU4-6,0,0,NA
Q14181,0,0,NA
Q9NPD3,0,0,NA
Q9NSD9,0.018,0,NA
O75347,0.012,0,NA
P61158,0.138,0,NA
P14678-3,0,0,NA
Q9UNS2,0,0,NA
Q04446,0.01,0,NA
Q13586,0,0,NA
P28799,0,0,NA
P11216,0,0,NA
P30084,0,0,NA
P62906,0.08,0,NA
Q9UHY7,0,0,NA
Q8WUZ0-2,0,0,NA
Q13469,0.482,0,NA
Q15084-2,0,0,NA
P55786,0.992,1,42
Q641Q2,0.052,0,NA
P07203,0,0,NA
Q68DK7,0,0,NA
Q70UQ0,0,0,NA
O75251,0.904,1,11
Q5VW32,0.592,1,7
Q9Y2S6,0.922,1,42
Q9P035,0,0,NA
P12694,0.056,0,NA
O75822,0.12,0,NA
P00505,0,0,NA
P43405,0,0,NA
Q8NDX1,0,0,NA
P53990-2,0.002,0,NA
P06702,0.062,0,NA
Q9NYG2-2,0,0,NA
Q8TD16-2,0.004,0,NA
O96008,0.04,0,NA
Q6PI48,0,0,NA
P37198,0,0,NA
P09382,0.002,0,NA
P25788,0.002,0,NA
Q4V328,0.86,1,20
P13667,0.28,0,NA
P13861,0.004,0,NA
P17252,0,0,NA
O43776,0.932,1,42
Q9NQS1,0,0,NA
P50613,0,0,NA
Q32P44,0,0,NA
P26641-2,0.574,1,20
O95831,0.198,0,NA
Q15365,0,0,NA
Q15003,0,0,NA
Q9H4A4,0.944,1,17
Q9ULC4,0.728,1,42
Q8NBL1,0,0,NA
Q9BQ61,0.002,0,NA
P28331-2,0,0,NA
P62917,0,0,NA
O75477,0.076,0,NA
P12956,0,0,NA
P50395,0.92,1,44
Q3YEC7,0,0,NA
O43464,0,0,NA
P49721,0.078,0,NA
Q9H6T3,0.86,1,20
P78345,0,0,NA
P62913,0,0,NA
O75787,0.012,0,NA
P46783,0,0,NA
O75131,0.964,1,17
Q15404,0.032,0,NA
O95292,0,0,NA
Q9NRN7,0,0,NA
Q7Z2T5,0,0,NA
Q15022,0,0,NA
P17050,0,0,NA
O95295,0,0,NA
Q9NXR1,0.006,0,NA
Q08426,0,0,NA
Q9H9C1,0.004,0,NA
O95757,0,0,NA
Q9ULA0,0,0,NA
P04406,0.974,1,17
Q86TX2,0,0,NA
Q969X5,0,0,NA
P62158,0.836,1,42
Q86XP3,0.734,1,18
Q6ZMI0,0,0,NA
Q9H2W6,0,0,NA
O14681,0,0,NA
Q9UMX5,0.036,0,NA
Q86UE4,0.002,0,NA
P63104,0.074,0,NA
Q9P003,0,0,NA
P51114,0,0,NA
O95819,0,0,NA
Q8TEM1,0,0,NA
Q9BQ52,0.026,0,NA
P49591,0.998,1,20
Q9Y4L1,0.02,0,NA
P19338,0.75,1,17
E9PRG8,0,0,NA
Q9NX55,0.006,0,NA
