"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significance","GN"
"TIMMDC1",-0.327606568128664,3.47050397723317,-1.97279607354072,0.0870881820988667,0.319091241231217,-5.42685251607046,"Not significant","TIMMDC1"
"ATP7B",-0.395197343027748,5.68565538090186,-1.97256508629629,0.0871184021393095,0.319091241231217,-5.42718824216872,"Not significant","ATP7B"
"GANAB",-0.284881774813781,5.07975019463958,-1.97243531305836,0.0871353848502778,0.319091241231217,-5.42737685456184,"Not significant","GANAB"
"CCDC47",-0.262687815045614,4.39401843256977,-1.9711707149388,0.0873010450893472,0.319091241231217,-5.42921462434034,"Not significant","CCDC47"
"YWHAH",-0.223760468990641,4.98597893878017,-1.97097463238124,0.0873267590831064,0.319091241231217,-5.42949954816123,"Not significant","YWHAH"
"MPP1",-0.258113473753027,4.84233195282068,-1.96935633036655,0.0875392633251111,0.319091241231217,-5.43185074320895,"Not significant","MPP1"
"ACAT1",-0.21848351906307,5.05220469916581,-1.96932990724695,0.0875427372093105,0.319091241231217,-5.43188912790155,"Not significant","ACAT1"
"UBQLN4",-0.266769097243163,4.24501426228922,-1.9692250524932,0.0875565239351106,0.319091241231217,-5.43204144817035,"Not significant","UBQLN4"
"WBP11",-0.23708439541799,5.11852820134289,-1.9690009834308,0.0875859925387527,0.319091241231217,-5.43236694025622,"Not significant","WBP11"
"TMED7",0.259050820171207,5.16854966244515,1.96799246538637,0.0877187483330618,0.319091241231217,-5.43383181609522,"Not significant","TMED7"
"HUWE1",0.232039216786667,4.70089455985701,1.96792384962859,0.0877277876637549,0.319091241231217,-5.43393147240493,"Not significant","HUWE1"
"PLBD2",-0.234423764368061,5.0107229207118,-1.96670176768968,0.0878889350691145,0.319406697135173,-5.43570622496817,"Not significant","PLBD2"
"PI4KA",0.250678619457242,4.1450812630591,1.96354736107747,0.0883062199655505,0.320529988826279,-5.44028561237242,"Not significant","PI4KA"
"TM9SF2",0.241796728469736,4.25385151811316,1.96323696711145,0.0883473850842236,0.320529988826279,-5.44073610284508,"Not significant","TM9SF2"
"FUCA2",-0.23588618772949,3.69023100379074,-1.96231319687113,0.0884700082034171,0.320580034160395,-5.44207668791412,"Not significant","FUCA2"
